Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
640,Median,67,67,0.67,0.67
696,MedianOf3PivotingStrategy,100,63,1,0.63
581,MersenneTwister,97,92,0.97,0.92
79,MicrosphereInterpolatingFunction,90,79,0.9,0.79
80,MicrosphereInterpolator,83,60,0.83,0.6
81,MicrosphereProjectionInterpolator,79,82,0.79,0.82
446,MidpointFieldIntegrator,100,100,1,1
447,MidpointFieldStepInterpolator,100,80,1,0.8
56,MidPointIntegrator,91,79,0.91,0.79
448,MidpointStepInterpolator,100,97,1,0.97
666,MillerUpdatingRegression,84,72,0.84,0.72
36,Min,100,100,1,1
641,Min,91,71,0.91,0.71
37,Minus,75,75,0.75,0.75
147,MixtureMultivariateNormalDistribution,82,100,0.82,1
148,MixtureMultivariateRealDistribution,96,88,0.96,0.88
504,ModelFunction,100,100,1,1
505,ModelFunctionJacobian,100,100,1,1
275,MonotoneChain,97,81,0.97,0.81
107,MullerSolver,92,60,0.92,0.6
108,MullerSolver2,89,74,0.89,0.74
697,MultidimensionalCounter,90,88,0.9,0.88
174,MultiDimensionMismatchException,60,50,0.6,0.5
499,MultiDirectionalSimplex,95,94,0.95,0.94
540,MultiDirectionalSimplex,95,94,0.95,0.94
357,MultiKMeansPlusPlusClusterer,84,50,0.84,0.5
38,Multiply,100,100,1,1
489,MultiStartMultivariateOptimizer,90,64,0.9,0.64
506,MultiStartMultivariateVectorOptimizer,92,18,0.92,0.18
515,MultiStartUnivariateOptimizer,95,84,0.95,0.84
396,MultistepFieldIntegrator,92,65,0.92,0.65
397,MultistepIntegrator,81,55,0.81,0.55
490,MultivariateFunctionMappingAdapter,96,70,0.96,0.7
541,MultivariateFunctionMappingAdapter,96,70,0.96,0.7
491,MultivariateFunctionPenaltyAdapter,90,70,0.9,0.7
542,MultivariateFunctionPenaltyAdapter,90,70,0.9,0.7
149,MultivariateNormalDistribution,83,85,0.83,0.85
162,MultivariateNormalMixtureExpectationMaximization,93,84,0.93,0.84
492,MultivariateOptimizer,100,100,1,1
620,MultivariateSummaryStatistics,100,81,1,0.81
507,MultivariateVectorOptimizer,100,100,1,1
150,NakagamiDistribution,93,61,0.93,0.61
663,NaturalRanking,91,93,0.91,0.93
373,NeighbourhoodSizeFunctionFactory,89,100,0.89,1
500,NelderMeadSimplex,96,93,0.96,0.93
543,NelderMeadSimplex,96,93,0.96,0.93
266,NestedLoops,0,0,0,0
367,Network,92,84,0.92,0.84
368,Neuron,93,91,0.93,0.91
376,NeuronSquareMesh2D,88,93,0.88,0.93
369,NeuronString,90,89,0.9,0.89
82,NevilleInterpolator,100,100,1,1
109,NewtonRaphsonSolver,100,86,1,0.86
110,NewtonSolver,100,86,1,0.86
175,NoBracketingException,67,0,0.67,0
286,NodesSet,100,100,1,1
495,NonLinearConjugateGradientOptimizer,82,94,0.82,0.94
556,NonLinearConjugateGradientOptimizer,91,88,0.91,0.88
176,NonMonotonicSequenceException,100,50,1,0.5
481,NonNegativeConstraint,100,100,1,1
332,NonPositiveDefiniteMatrixException,70,0,0.7,0
333,NonSymmetricMatrixException,63,0,0.63,0
460,NordsieckStepInterpolator,92,91,0.92,0.91
661,NormalApproximationInterval,100,100,1,1
151,NormalDistribution,96,89,0.96,0.89
229,NPointCrossover,95,88,0.95,0.88
177,NumberIsTooLargeException,100,67,1,0.67
178,NumberIsTooSmallException,100,67,1,0.67
493,ObjectiveFunction,100,100,1,1
494,ObjectiveFunctionGradient,100,100,1,1
667,OLSMultipleLinearRegression,100,100,1,1
230,OnePointCrossover,90,100,0.9,1
653,OneWayAnova,96,82,0.96,0.82
